14:05:59.804 Generated session secret
14:06:00.766 DB not initialized, please visit setup page - http://[your-server-host]:8080 to see instructions on how to initialize Trilium.
14:06:00.769 DB size: 4 KB
14:06:02.137 {
  "appVersion": "0.63.7",
  "dbVersion": 228,
  "nodeVersion": "v18.18.2",
  "syncVersion": 32,
  "buildDate": "2024-05-30T06:59:06+02:00",
  "buildRevision": "95d46b7ce7e0036eeb72b43e1815cc5c00dc214c",
  "dataDirectory": "/home/node/trilium-data",
  "clipperProtocolVersion": "1.0",
  "utcDateTime": "2026-06-05T14:06:00.400Z"
}
16:59:50.080 200 GET /api/health-check with 15 bytes took 2ms
17:00:20.344 200 GET /api/health-check with 15 bytes took 3ms
17:00:50.621 200 GET /api/health-check with 15 bytes took 2ms
17:01:20.871 200 GET /api/health-check with 15 bytes took 2ms
17:01:51.121 200 GET /api/health-check with 15 bytes took 1ms
17:02:21.405 200 GET /api/health-check with 15 bytes took 2ms
17:02:51.694 200 GET /api/health-check with 15 bytes took 2ms
17:03:22.017 200 GET /api/health-check with 15 bytes took 2ms
17:03:52.282 200 GET /api/health-check with 15 bytes took 6ms
17:04:22.568 200 GET /api/health-check with 15 bytes took 3ms
17:04:52.820 200 GET /api/health-check with 15 bytes took 2ms
17:05:23.098 200 GET /api/health-check with 15 bytes took 3ms
17:05:53.387 200 GET /api/health-check with 15 bytes took 3ms
17:06:23.639 200 GET /api/health-check with 15 bytes took 3ms
17:06:53.860 200 GET /api/health-check with 15 bytes took 2ms
17:07:24.166 200 GET /api/health-check with 15 bytes took 2ms
17:07:54.484 200 GET /api/health-check with 15 bytes took 2ms
17:08:24.755 200 GET /api/health-check with 15 bytes took 1ms
17:08:55.003 200 GET /api/health-check with 15 bytes took 2ms
17:09:25.304 200 GET /api/health-check with 15 bytes took 2ms
17:09:55.598 200 GET /api/health-check with 15 bytes took 3ms
17:10:25.840 200 GET /api/health-check with 15 bytes took 3ms
17:10:56.082 200 GET /api/health-check with 15 bytes took 1ms
17:11:26.355 200 GET /api/health-check with 15 bytes took 1ms
17:11:56.662 200 GET /api/health-check with 15 bytes took 2ms
17:12:26.940 200 GET /api/health-check with 15 bytes took 1ms
17:12:57.234 200 GET /api/health-check with 15 bytes took 2ms
17:13:27.501 200 GET /api/health-check with 15 bytes took 2ms
17:13:57.791 200 GET /api/health-check with 15 bytes took 2ms
17:14:28.101 200 GET /api/health-check with 15 bytes took 2ms
17:14:58.385 200 GET /api/health-check with 15 bytes took 0ms
17:15:28.644 200 GET /api/health-check with 15 bytes took 3ms
17:15:58.887 200 GET /api/health-check with 15 bytes took 2ms
